k,kNN,kNN2,kNN4
1,95.6001713,96.8208456,97.401939
2,94.2135254,94.8926894,95.9004017
3,95.0419944,96.060972,96.6345808
4,94.7088939,95.9480866,96.4509396
5,95.1717007,96.2226226,96.6642875
6,95.6454643,96.0858175,96.543146
7,95.4936902,96.1707709,96.6241642
8,95.8653709,96.1808018,96.6747813
9,95.6179953,96.2441503,96.7103522
10,95.7152171,96.2064189,96.6799511
20,95.4013295,96.2331164,96.6845035
30,95.1312688,96.2409867,96.6616641
40,94.9005598,96.2453077,96.6358155
50,94.7170729,96.2473138,96.6118958
60,94.5387556,96.24307,96.5919113
70,94.3765649,96.2458478,96.5703836
80,94.2372136,96.247391,96.5531769
90,94.1019518,96.2483941,96.5282541
100,93.9710881,96.2465422,96.5122048
110,93.8529558,96.2475453,96.488208
120,93.7356723,96.2440731,96.4683778
130,93.6224011,96.2452305,96.4480847
140,93.513451,96.2412182,96.4299521
150,93.403652,96.2390577,96.4121281
160,93.3002573,96.2417583,96.3931466
170,93.20427,96.2418355,96.3748597
180,93.1125266,96.2414497,96.3574986
190,93.024101,96.239212,96.3412178
200,92.9410766,96.2369744,96.3252457
